variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65
full,11,2022,161,random_forest_shallow,0.6837504267888469,0.2453598916935287,0.5405742821473158,801.0,0.5930232558139535,0.42946317103620474,0.6460176991150443,0.14107365792759052,0.6666666666666666,0.03745318352059925
full,11,2022,161,extra_trees,0.6853055805577577,0.24610230580701026,0.550561797752809,801.0,0.6470588235294118,0.23345817727840198,0.6153846153846154,0.04868913857677903,0.5,0.004993757802746567
full,11,2022,161,random_forest,0.6871108113176273,0.24688844866022175,0.533083645443196,801.0,0.5857461024498887,0.5605493133583022,0.6234567901234568,0.20224719101123595,0.5740740740740741,0.06741573033707865
full,11,2023,163,random_forest_shallow,0.6893834219809889,0.24807887113188523,0.555,800.0,0.5602605863192183,0.38375,0.55,0.125,0.6190476190476191,0.02625
full,11,2023,163,extra_trees,0.69232514076814,0.24956819006080835,0.54,800.0,0.5177304964539007,0.3525,0.5689655172413793,0.0725,0.6666666666666666,0.00375
full,11,2023,163,random_forest,0.6928494142996487,0.24979088771367294,0.54,800.0,0.5433673469387755,0.49,0.5371900826446281,0.15125,0.6666666666666666,0.04125
full,11,2024,163,random_forest_shallow,0.6868899512357634,0.2469098716290189,0.5573549257759784,741.0,0.5617529880478087,0.33873144399460187,0.5942028985507246,0.0931174089068826,0.7272727272727273,0.014844804318488529
full,11,2024,163,random_forest,0.6875198561437621,0.24724300347318567,0.5425101214574899,741.0,0.5833333333333334,0.3724696356275304,0.5595238095238095,0.11336032388663968,0.7777777777777778,0.024291497975708502
full,11,2024,163,extra_trees,0.6877111502005222,0.247296821789473,0.5479082321187584,741.0,0.5597826086956522,0.2483130904183536,0.7,0.02699055330634278,1.0,0.001349527665317139
full,11,2025,163,random_forest_shallow,0.6791696167937689,0.2431298920884877,0.5454545454545454,737.0,0.6133720930232558,0.46675712347354137,0.6722689075630253,0.1614654002713704,0.7272727272727273,0.014925373134328358
full,11,2025,163,extra_trees,0.6805357437453212,0.24376421133075038,0.5671641791044776,737.0,0.6071428571428571,0.37991858887381275,0.6595744680851063,0.06377204884667571,1.0,0.005427408412483039
full,11,2025,163,random_forest,0.6822829114821238,0.2446690319562002,0.55359565807327,737.0,0.5879120879120879,0.49389416553595655,0.6158940397350994,0.20488466757123475,0.8,0.033921302578018994
full,11,2026,163,random_forest,0.6885649537260488,0.24781679769024087,0.5182481751824818,274.0,0.5950413223140496,0.4416058394160584,0.5357142857142857,0.10218978102189781,1.0,0.014598540145985401
full,11,2026,163,extra_trees,0.6898379150020698,0.2483793356393809,0.5364963503649635,274.0,0.5569620253164557,0.28832116788321166,0.5833333333333334,0.043795620437956206,1.0,0.0072992700729927005
full,11,2026,163,random_forest_shallow,0.6898697443532439,0.24843194341449784,0.5255474452554745,274.0,0.5229357798165137,0.3978102189781022,0.6818181818181818,0.08029197080291971,1.0,0.010948905109489052
full,22,2022,161,random_forest_shallow,0.6839831847472725,0.24548105892116528,0.550561797752809,801.0,0.5971830985915493,0.4431960049937578,0.635593220338983,0.14731585518102372,0.696969696969697,0.04119850187265917
full,22,2022,161,extra_trees,0.6853806732639465,0.2461299284133483,0.5468164794007491,801.0,0.6394230769230769,0.2596754057428215,0.5526315789473685,0.04744069912609238,0.0,0.0012484394506866417
full,22,2022,161,random_forest,0.6864698378325579,0.24658191858496156,0.5343320848938826,801.0,0.5888077858880778,0.5131086142322098,0.6357615894039735,0.18851435705368288,0.6170212765957447,0.05867665418227216
full,22,2023,163,random_forest_shallow,0.6903501303055601,0.24855385190060578,0.54375,800.0,0.5635179153094463,0.38375,0.5568181818181818,0.11,0.56,0.03125
full,22,2023,163,extra_trees,0.6917504657177821,0.24928483668163126,0.535,800.0,0.5427509293680297,0.33625,0.52,0.0625,0.75,0.005
full,22,2023,163,random_forest,0.6929819041628872,0.2498724750737253,0.535,800.0,0.5584415584415584,0.48125,0.5426356589147286,0.16125,0.6875,0.04
full,22,2024,163,random_forest_shallow,0.6856077962906905,0.24627146757673007,0.5654520917678812,741.0,0.5598455598455598,0.349527665317139,0.6417910447761194,0.09041835357624832,0.75,0.016194331983805668
full,22,2024,163,random_forest,0.686009209668547,0.2464770573787677,0.5546558704453441,741.0,0.5796610169491525,0.398110661268556,0.5882352941176471,0.11470985155195682,0.8823529411764706,0.022941970310391364
full,22,2024,163,extra_trees,0.6878519283566603,0.24737430567841537,0.5465587044534413,741.0,0.5699481865284974,0.26045883940620784,0.6521739130434783,0.0310391363022942,1.0,0.002699055330634278
